Citi_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint George,US,37.1041,-113.5841,46.8,36,0,4.61,clear sky
79,East Stroudsburg,US,40.9995,-75.1813,35.83,74,85,6.22,overcast clouds
80,Labuhan,ID,-6.8844,112.2051,83.88,66,100,6.69,overcast clouds
81,Tasiilaq,GL,65.6145,-37.6368,33.96,80,100,6.64,light snow
82,San Ramon,US,37.7799,-121.978,56.37,64,0,3.44,clear sky
83,Seddon,AU,-37.8068,144.8916,77.02,54,20,10.36,few clouds
84,Chino Valley,US,34.7575,-112.4538,44.62,30,0,5.75,clear sky
85,San Javier,ES,37.8063,-0.8374,67.39,67,0,5.99,clear sky
86,Balad,IQ,34.0164,44.1453,59.34,62,0,5.26,clear sky
87,Conceicao Da Barra,BR,-18.5933,-39.7322,69.15,81,100,10.67,overcast clouds
88,Fort Nelson,CA,58.8053,-122.7002,8.94,90,0,0.0,clear sky
89,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,100,3.44,overcast clouds
90,Komsomolskoye,RU,55.2567,47.5461,27.55,94,100,15.86,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,85.24,63,93,10.87,overcast clouds
92,Kavaratti,IN,10.5669,72.642,82.49,62,7,9.51,clear sky
93,Quatre Cocos,MU,-20.2078,57.7625,72.09,60,0,4.79,clear sky
94,Arraial Do Cabo,BR,-22.9661,-42.0278,70.75,74,0,5.93,clear sky
95,Vardo,NO,70.3705,31.1107,39.18,70,100,4.61,overcast clouds
96,Mogadishu,SO,2.0371,45.3438,78.93,84,6,9.48,clear sky
97,Ussuriysk,RU,43.7986,131.9508,49.82,58,2,12.57,clear sky
98,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,6.98,overcast clouds
99,Barcelos,PT,41.5388,-8.6151,55.85,90,91,5.32,light rain
100,Cajati,BR,-24.7361,-48.1228,58.42,78,0,2.39,clear sky
101,Lucapa,AO,-8.4192,20.7447,62.29,99,66,2.15,light rain
102,Grindavik,IS,63.8424,-22.4338,44.55,93,40,9.22,scattered clouds
103,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,73,11,2.75,few clouds
104,Alyangula,AU,-13.8483,136.4192,89.42,49,92,3.36,overcast clouds
105,Sakaiminato,JP,35.55,133.2333,58.98,67,20,2.3,few clouds
106,Wamba,NG,8.9333,8.6,70.32,36,61,3.83,broken clouds
107,Hasaki,JP,35.7333,140.8333,65.21,55,87,9.6,overcast clouds
108,Akim Swedru,GH,5.8938,-1.0164,71.92,97,97,1.54,overcast clouds
109,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
110,Beringovskiy,RU,63.05,179.3167,26.15,94,99,3.04,light snow
111,Namibe,AO,-15.1961,12.1522,69.33,84,89,4.97,overcast clouds
112,Mochalishche,RU,56.3306,48.3547,24.39,90,100,13.13,light snow
113,Nong Khae,TH,14.3406,100.8673,86.04,75,97,3.74,overcast clouds
114,Svetlogorsk,BY,52.6333,29.7333,25.7,85,97,6.91,overcast clouds
115,Narsaq,GL,60.9167,-46.05,17.82,95,100,1.5,light snow
116,Hobart,AU,-42.8794,147.3294,67.23,58,20,10.36,few clouds
117,Isangel,VU,-19.55,169.2667,87.91,74,75,5.75,broken clouds
118,Hilo,US,19.7297,-155.09,80.33,84,0,11.5,clear sky
119,Tuatapere,NZ,-46.1333,167.6833,56.86,87,99,3.78,overcast clouds
120,Aketi,CD,2.7388,23.7833,69.89,90,99,1.92,overcast clouds
121,Nevelsk,RU,46.6733,141.8633,36.46,65,100,7.94,overcast clouds
122,Oktyabrskiy,RU,54.4815,53.471,26.94,95,100,13.27,snow
123,Tilichiki,RU,60.4667,166.1,6.12,93,35,6.53,scattered clouds
124,Chokurdakh,RU,70.6333,147.9167,-12.73,99,100,4.47,overcast clouds
125,Safaga,EG,26.7292,33.9365,69.85,42,100,13.2,overcast clouds
126,Carnarvon,AU,-24.8667,113.6333,68.47,54,90,20.76,overcast clouds
127,Florence,IT,43.7667,11.25,59.4,98,75,4.61,broken clouds
128,Tevaitoa,PF,-16.7833,-151.5,80.08,70,25,1.59,scattered clouds
